age,gender,study_hours,class_attendance,internet_access,sleep_hours,sleep_quality,facility_rating,exam_difficulty,course_b.com,course_b.sc,course_b.tech,course_ba,course_bba,course_bca,course_diploma,study_method_coaching,study_method_group_study,study_method_mixed,study_method_online_videos,study_method_self-study
-1.0791828527364264,0,1.668859408963049,-0.9002853381075567,1,-1.216104783640998,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
-0.2049196002792919,0,-0.6469666877563452,-1.2472984406515881,1,0.2902783100441564,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
-1.5163144789649936,0,-1.1422840893060844,-0.23517689156482913,1,0.8117186117044024,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
-1.5163144789649936,1,-0.7686235934001407,1.4247024489374545,1,0.6379051778176534,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
-0.2049196002792919,1,0.07862985661915002,0.7075420370131231,2,-0.520851048094004,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
-0.2049196002792919,0,-1.1770432052043118,-0.3624150291643075,1,1.1593454794778995,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.6693436521778425,1,1.1257482230532474,1.3379491733014466,2,0.0005892535662420557,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
-0.6420512265078592,0,-0.18206351261755505,1.1239577600659612,1,1.1014076681823168,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0.23221202594927534,1,1.2604397971588785,1.1933603805747668,1,0.695842989113236,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.23221202594927534,1,1.0518851017695143,0.2969098656693519,1,0.9855320455911505,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
